Pressure,Temp,nbot,fe_mant,feO_mant,S_metal,silicate_olivine%,ol_frac,C_metal,cf,Liq_frac,ave_ni,ni_err,ave_co,co_err,ave_cr,cr_err,ave_nb,nb_err,ave_w,w_err,ave_v,v_err,ave_mo,mo_err,ave_si,si_err,ave_mn,mn_err,ni_act,fe_act,Ol_D_Cr,Ol_D_V,Ol_D_Ni,Ol_D_Co
3,1871.078,2.185,10,12.865,0.001,0.5,0.3567,1,0.28667,0.35667,454.979964,87.12908945,82.2804599,11.37236598,0.144557808,0.010267019,0.000131468,4.04E-05,262.4263982,201.0802362,0.019089361,0.002108355,2417.865424,1602.626887,0.001275359,9.88E-05,0.007414022,0.000560188,1.54429,0.63211,0.85,0.80069,3.13813,1.21311
3,1871.078,2.185,10,12.865,0.001,0.5,0.3567,2,0.28667,0.35667,390.5809032,73.46135547,72.80034487,9.651844378,0.149543232,0.010620191,0.000135358,4.16E-05,293.8477343,233.3010315,0.024607565,0.002716665,2941.690615,1979.816864,0.000956422,7.41E-05,0.00769496,0.000581407,1.54429,0.63211,0.85,0.76813,3.13813,1.21311
3,1871.078,2.185,10,12.865,0.001,0.5,0.3567,3,0.28667,0.35667,336.5274428,62.07714294,64.60000845,8.218215543,0.154574744,0.010976586,0.000134439,4.13E-05,313.5985033,253.9546262,0.031287804,0.003452362,3482.455844,2370.216143,0.000705485,5.47E-05,0.00798017,0.000602948,1.54429,0.63211,0.85,0.72963,3.13813,1.21311
3,1871.078,2.185,10,12.865,0.001,0.5,0.3567,4,0.28667,0.35667,290.9410785,52.56167371,57.47835596,7.019592135,0.159655128,0.011336403,0.000129299,3.97E-05,320.6121078,261.3452995,0.039271233,0.004330738,4022.663658,2760.853809,0.000512895,3.98E-05,0.008269791,0.000624822,1.54429,0.63211,0.85,0.68698,3.13813,1.21311
3,1871.078,2.185,10,12.865,0.001,0.5,0.3567,5,0.28667,0.35667,252.3247202,44.58383708,51.27045567,6.014168304,0.164787208,0.011699844,0.000120817,3.71E-05,315.3993938,255.8173701,0.048693495,0.005366488,4545.056283,3139.008153,0.00036815,2.85E-05,0.00856397,0.000647041,1.54429,0.63211,0.85,0.64178,3.13813,1.21311
3,1871.078,2.185,10,12.865,0.001,0.5,0.3567,5.432,0.28667,0.35667,238.6768362,41.93614596,48.98959297,5.661882524,0.166722289,0.01183785,0.000116952,3.59E-05,309.7583644,249.8593856,0.052566539,0.005791828,4761.754144,3296.279349,0.00032379,2.51E-05,0.008675368,0.000655477,1.54429,0.63211,0.85,0.62179,3.13813,1.21311
3,1857.595,2.048,10,12.865,0.001,0.6,0.428,0.001,0.28667,0.28533,390.3214532,53.6823745,79.36313737,9.29624901,0.125922011,0.009017819,0.000131879,4.01E-05,275.5950223,212.3431728,0.013353261,0.001490666,2275.379716,1505.180166,0.002022621,0.000157306,0.007755814,0.000589934,1.61845,0.67843,0.85,0.79677,3.79423,1.36723
3,1857.595,2.048,10,12.865,0.001,0.6,0.428,1,0.28667,0.28533,333.5088754,45.27471119,69.95872512,7.892081219,0.130453436,0.009340879,0.000141471,4.30E-05,326.4014015,264.8491785,0.017547844,0.00195782,2860.525406,1927.586945,0.001544351,0.000120122,0.008061202,0.000613153,1.61845,0.67843,0.85,0.77295,3.79423,1.36723
3,1857.595,2.048,10,12.865,0.001,0.6,0.428,2,0.28667,0.28533,286.0565342,38.2883255,61.85518071,6.721937815,0.135032041,0.009667219,0.000145724,4.43E-05,366.1879182,307.198295,0.022749304,0.002536156,3487.851582,2381.898008,0.001156605,9.00E-05,0.008371655,0.000636758,1.61845,0.67843,0.85,0.74142,3.79423,1.36723
3,1857.595,2.048,10,12.865,0.001,0.6,0.428,3,0.28667,0.28533,246.2616561,32.46453167,54.85007817,5.744456692,0.139655868,0.009996699,0.000144764,4.40E-05,391.4100596,334.5079276,0.029113493,0.003242578,4137.120789,2853.019425,0.000851901,6.63E-05,0.00868702,0.000660735,1.61845,0.67843,0.85,0.70411,3.79423,1.36723
3,1857.595,2.048,10,12.865,0.001,0.6,0.428,4,0.28667,0.28533,212.728878,27.59141531,48.77029238,4.925143284,0.144327525,0.010329506,0.000139227,4.24E-05,400.6558778,344.5860604,0.036806418,0.004095082,4787.326227,3325.394136,0.000618369,4.81E-05,0.009007457,0.000685099,1.61845,0.67843,0.85,0.66278,3.79423,1.36723
3,1857.595,2.048,10,12.865,0.001,0.6,0.428,5,0.28667,0.28533,184.3469465,23.50004661,43.47390295,4.236140831,0.149049666,0.010665831,0.000130065,3.96E-05,394.5113139,337.8454496,0.045995856,0.005111859,5417.639272,3783.668943,0.000443119,3.45E-05,0.009333128,0.00070986,1.61845,0.67843,0.85,0.61897,3.79423,1.36723
3,1857.595,2.048,10,12.865,0.001,0.6,0.428,5.4,0.28667,0.28533,175.2639637,22.27950655,41.71515403,4.018881576,0.150669401,0.010781656,0.000126265,3.84E-05,388.1853859,330.9295167,0.049448751,0.005492492,5660.080416,3960.37446,0.000393913,3.06E-05,0.009445608,0.000718438,1.61845,0.67843,0.85,0.60107,3.79423,1.36723
3,1933.798,2.76,10,12.865,1,0.01,0.0071,0.001,0.28667,0.7062,1275.018703,746.6944959,141.9724837,34.92130711,0.235325574,0.016342111,0.000156817,5.06E-05,140.2586597,90.8887305,0.027363692,0.002935371,1360.998099,836.4216605,0.00074755,6.05E-05,0.007656191,0.000561306,1.29843,0.48422,0.85,0.9805,1.37203,0.79823
3,1933.798,2.76,10,12.865,1,0.01,0.0071,1,0.28667,0.7062,1097.615085,628.9111861,125.7531406,29.52708286,0.242596319,0.016850517,0.000165676,5.34E-05,162.8532926,111.5433082,0.034764191,0.00372939,1678.123889,1058.169517,0.000575982,4.67E-05,0.007900359,0.000579198,1.29843,0.48422,0.85,0.94946,1.37203,0.79823
3,1933.798,2.76,10,12.865,1,0.01,0.0071,2,0.28667,0.7062,948.2509375,530.6489553,111.7087264,25.04129145,0.249919348,0.017362849,0.000168522,5.43E-05,179.6852668,127.5186239,0.043379271,0.004653829,2010.725764,1292.326832,0.000435708,3.53E-05,0.008148049,0.00059735,1.29843,0.48422,0.85,0.90973,1.37203,0.79823
